name,site,category,phone,full_address,borough,street,city,postal_code,latitude,longitude,h3,area_service,rating,reviews,reviews_link,reviews_tags,photo,business_status,about,logo,description,location_link,email_1
Upper West Side Run Club,https://linktr.ee/upperwestsiderunclub,Athletic club,,"W 72nd St, New York, NY 10023",Manhattan,W 72nd St,New York,10023,40.7807218,-73.9856854,892a1008b13ffff,FALSE,5,16,"https://search.google.com/local/reviews?placeid=ChIJQVu9WH9ZwokRv5fVc9FMHGI&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrrR5P7CWD-loWk6WbEQy5ivM25d6So7Guz1H8nBHlYhAFX9TKxGijtBdczlZld0ZkmWxSx5imfbH1smoo0rAVyxWG-Esc517DA-IyEItpx3xA9CjUE2r6U0wOubjnBgU_eRKaovA=w800-h500-k-no,OPERATIONAL,{},https://lh4.googleusercontent.com/-ys-a16IcBu8/AAAAAAAAAAI/AAAAAAAAAAA/g7ksiOP4hUU/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/Upper+West+Side+Run+Club/@40.780721799999995,-73.9856854,14z/data=!4m8!1m2!2m1!1sUpper+West+Side+Run+Club!3m4!1s0x89c2597f58bd5b41:0x621c4cd173d597bf!8m2!3d40.780721799999995!4d-73.9856854",alex@linktr.ee
Hellgate Road Runners,http://www.hrronline.org/Contact%20us.htm,Sports club,+1 718-721-7844,"14-41 31st Dr, Long Island City, NY 11106",Long Island City,14-41 31st Dr,Long Island City,11106,40.766635,-73.931451,892a100d497ffff,FALSE,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q_Aw6y6EsV81g5TlJkgDlw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=54.69848&pitch=0&thumbfov=100,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true}}",,,"https://www.google.com/maps/place/Hellgate+Road+Runners/@40.766635,-73.931451,14z/data=!4m8!1m2!2m1!1sHellgate+Road+Runners!3m4!1s0x89c25f35ec9a766b:0x59c7c2f6ca05845d!8m2!3d40.766635!4d-73.931451",jared@hrronline.org
New York Road Runners,http://www.nyrr.org/,Non-profit organization,+1 855-569-6977,"6073, 322 Columbus Ave, New York, NY 10023",Manhattan,"6073, 322 Columbus Ave",New York,10023,40.766802,-73.984127,892a1008b27ffff,FALSE,4.2,30,"https://search.google.com/local/reviews?placeid=ChIJf1Qu2PlYwokRA3NeGvPOhHU&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrj8GKyIVbYCcGDtu0c9ZxIHDdfCPCMY3MeHcfCji8y6K3FH5qbL07XRc772vpaqIZNzx53aGCSBPfRXmQ49C8TJDWFrIZS0X6yOEdqAtIl0ELmq6ulQTaxQNOqS8g5SHg7eh8=w800-h500-k-no,OPERATIONAL,{},,,"https://www.google.com/maps/place/New+York+Road+Runners/@40.766802,-73.984127,14z/data=!4m8!1m2!2m1!1sNew+York+Road+Runners!3m4!1s0x89c258f9d82e547f:0x7584cef31a5e7303!8m2!3d40.766802!4d-73.984127",dshumanski@nyrr.org
South Brooklyn Running Club,http://southbrooklynrunningclub.com/,Club,,"President St and, Court St, Brooklyn, NY 11231",Carroll Gardens,"President St and, Court St",Brooklyn,11231,40.681608,-73.9961272,892a1072933ffff,FALSE,5,20,"https://search.google.com/local/reviews?placeid=ChIJZ6jSyZlbwokR89khEGRHhVY&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPKo5JNffH3vouhKZOs_yOgg7ZHCX5lmC1Fbm1M3eYiS49QAc7FswnVxrvTLbupChAsMxRGewyMFuM1iGJyqz84ZVGbWJRNKGUkJ687wVWEUirKjJ0fTfd1aUkuIulkH2I6NfQ=w800-h500-k-no,OPERATIONAL,{},https://lh5.googleusercontent.com/-jsMDT3tPYus/AAAAAAAAAAI/AAAAAAAAAAA/oHMXUFK1hp0/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/South+Brooklyn+Running+Club/@40.681608,-73.9961272,14z/data=!4m8!1m2!2m1!1sSouth+Brooklyn+Running+Club!3m4!1s0x89c25b99c9d2a867:0x568547641021d9f3!8m2!3d40.681608!4d-73.9961272",social@southbrooklynrunning.com
Five Points Runners Track Club,http://fivepointsrunners.com/,Association / Organization,+1 917-747-7490,"453 FDR Dr, New York, NY 10002",Manhattan,453 FDR Dr,New York,10002,40.7125397,-73.9782826,892a1072d9bffff,FALSE,4,4,"https://search.google.com/local/reviews?placeid=ChIJa1V7y9VbwokRjFhILi5EwU8&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DZsQPqaQSKOFjGabwM7Gfw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=303.86285&pitch=0&thumbfov=100,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true}}",,,"https://www.google.com/maps/place/Five+Points+Runners+Track+Club/@40.7125397,-73.9782826,14z/data=!4m8!1m2!2m1!1sFive+Points+Runners+Track+Club!3m4!1s0x89c25bd5cb7b556b:0x4fc1442e2e48588c!8m2!3d40.7125397!4d-73.9782826",fivepointsrunners@gmail.com
Girls on the Run NYC,http://www.gotrnyc.org/,Non-profit organization,+1 212-401-6380,"77 Sands Street Sixth Floor, Brooklyn, NY 11201",Downtown Brooklyn,77 Sands Street Sixth Floor,Brooklyn,11201,40.7003477,-73.9874324,892a1072d3bffff,FALSE,5,2,"https://search.google.com/local/reviews?placeid=ChIJi4ejSRFawokRJFTYvpGAvjM&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/p/AF1QipO7_Ukqxwqn4kVHcmFNUn_OiootLc-eChRry_-M=w800-h500-k-no,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true}}",https://lh4.googleusercontent.com/-jIq3q1Shch8/AAAAAAAAAAI/AAAAAAAAAAA/hOBFOG-XGTk/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/Girls+on+the+Run+NYC/@40.700347699999995,-73.9874324,14z/data=!4m8!1m2!2m1!1sGirls+on+the+Run+NYC!3m4!1s0x89c25a1149a3878b:0x33be8091bed85424!8m2!3d40.700347699999995!4d-73.9874324",molly.schwartz@gotrnyc.org
Run for Chinatown,http://www.runforchinatown.org/,Non-profit organization,+1 917-830-6952,"108 Mosco St, New York, NY 10013",Manhattan,108 Mosco St,New York,10013,40.7145385,-73.9990512,892a1072c23ffff,FALSE,5,5,"https://search.google.com/local/reviews?placeid=ChIJgaFp0WZbwokRjXegUbbdTys&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr1GUt7Riv3QULrIvLOxDlZs1htNp5g5TZSeC-YkVX3l6Aoof7B-JFxc1cUDnB0hMcXCIB2CbWTtbzEseqXgZodUT4kLvM3_Ps0Hp2SghMVHWkSfyqgrwmP8jLwVBvF_RWBIXmY=w800-h500-k-no,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true}}",https://lh3.googleusercontent.com/-0KQdGG2orJs/AAAAAAAAAAI/AAAAAAAAAAA/oedMAnDZqQA/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/Run+for+Chinatown/@40.714538499999996,-73.9990512,14z/data=!4m8!1m2!2m1!1sRun+for+Chinatown!3m4!1s0x89c25b66d169a181:0x2b4fddb651a0778d!8m2!3d40.714538499999996!4d-73.9990512",hello@runforchinatown.org
Upper West Side Run Club (Tuesday meeting spot),https://linktr.ee/upperwestsiderunclub,Athletic club,,"Central Prk W, New York, NY 10023",Manhattan,Central Prk W,New York,10023,40.7748054,-73.9741975,892a1008ba7ffff,FALSE,5,14,"https://search.google.com/local/reviews?placeid=ChIJ_2P5j0RZwokRPf2BfcJs0zE&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/p/AF1QipMytGi0D0c0hSb9lhzxj-6_kVAanur3cyiLZuXo=w800-h500-k-no,OPERATIONAL,{},https://lh5.googleusercontent.com/-2JTvUkVlIlA/AAAAAAAAAAI/AAAAAAAAAAA/WmTFGfLAe64/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/Upper+West+Side+Run+Club+%28Tuesday+meeting+spot%29/@40.7748054,-73.9741975,14z/data=!4m8!1m2!2m1!1sUpper+West+Side+Run+Club+%28Tuesday+meeting+spot%29!3m4!1s0x89c259448ff963ff:0x31d36cc27d81fd3d!8m2!3d40.7748054!4d-73.9741975",alex@linktr.ee
Mile High Run Club,https://www.milehighrunclub.com/,Gym,+1 212-466-6472,"24 W 25th St, New York, NY 10010",Manhattan,24 W 25th St,New York,10010,40.7433365,-73.9904335,892a100d21bffff,FALSE,4.7,63,"https://search.google.com/local/reviews?placeid=ChIJX7P5XaVZwokRSgAtiRI9IRc&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/p/AF1QipMMrc5U92YinaK2gBS-XtLSksYuPboAetCT7rh7=w800-h500-k-no,OPERATIONAL,"{""Service options"": {""Online classes"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": false}, ""Atmosphere"": {""Shower"": true}, ""Payments"": {""Credit cards"": true}}",https://lh6.googleusercontent.com/-svjr5IA_vqg/AAAAAAAAAAI/AAAAAAAAAAA/1-nwls98ib4/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/Mile+High+Run+Club/@40.7433365,-73.9904335,14z/data=!4m8!1m2!2m1!1sMile+High+Run+Club!3m4!1s0x89c259a55df9b35f:0x17213d12892d004a!8m2!3d40.7433365!4d-73.9904335",corinne@milehighrunclub.com
Renegade Runners,,Club,+1 718-206-1383,"114-64 Merrick Blvd, Jamaica, NY 11434",Jamaica,114-64 Merrick Blvd,Jamaica,11434,40.689935,-73.7782722,892a100e9a3ffff,FALSE,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IMUdSH29lGlRdMfbX1mvag&cb_client=search.gws-prod.gps&w=800&h=500&yaw=353.37753&pitch=0&thumbfov=100,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true}}",,,"https://www.google.com/maps/place/Renegade+Runners/@40.689935,-73.7782722,14z/data=!4m8!1m2!2m1!1sRenegade+Runners!3m4!1s0x89c26133936707a3:0x43c8630b12628b32!8m2!3d40.689935!4d-73.7782722",
